1 1 512 0.000001 1.349732
1 2 512 0.000001 2.633277
1 3 512 0.000001 3.906848
1 4 512 0.000001 4.464159
2 1 512 0.000001 2.715240
2 2 512 0.000001 5.304803
2 3 512 0.000001 7.813222
2 4 512 0.000001 8.942050
3 1 512 0.000001 4.022572
3 2 512 0.000001 7.948271
3 3 512 0.000001 11.677489
3 4 512 0.000001 13.360295
4 1 512 0.000001 5.418987
4 2 512 0.000001 10.655008
4 3 512 0.000001 15.456612
4 4 512 0.000001 18.459183
##   1   2   3   4 
1 1.35 2.63 3.91 4.46 
2 2.72 5.30 7.81 8.94 
3 4.02 7.95 11.68 13.36 
4 5.42 10.66 15.46 18.46 
